ID_ESCOLA;CO_PROFESSOR;ID_SERIE;TX_RESP_Q053;TX_RESP_Q054;TX_RESP_Q055;TX_RESP_Q056;TX_RESP_Q057;TX_RESP_Q058;TX_RESP_Q059;TX_RESP_Q060;TX_RESP_Q061;TX_RESP_Q062;TX_RESP_Q063;TX_RESP_Q064;TX_RESP_Q065;TX_RESP_Q066;TX_RESP_Q067;TX_RESP_Q068;TX_RESP_Q069
35901295;2017197864;9;C;D;E;E;C;D;D;D;D;D;D;D;D;D;D;D;C
35901295;2017120212;9;A;A;E;E;E;C;C;C;C;C;C;C;C;C;C;C;B
35901295;2017234087;9;A;A;E;E;E;C;C;C;C;C;C;C;C;C;C;C;B
35901295;2017014004;9;A;A;E;E;E;C;C;C;C;C;C;C;C;C;C;C;B
35901295;2017404648;9;A;A;E;E;E;C;C;C;C;C;C;C;C;C;C;C;B
35901295;2017148782;9;A;A;E;E;E;C;C;C;C;C;C;C;C;C;C;C;B
35017152;2017453260;5;C;E;E;C;E;C;C;C;C;C;C;C;C;C;C;C;C
35017152;2017169204;5;C;E;E;E;E;D;D;D;D;D;D;D;D;D;D;D;D
35017152;2017041296;5;C;E;E;E;D;D;D;D;D;D;D;D;D;D;D;D;D
35037928;2017311711;5;C;E;E;E;C;D;D;D;D;D;D;D;D;D;D;D;D
35037928;2017098414;5;E;E;E;E;E;C;C;B;B;C;C;B;B;B;A;B;B
35037928;2017219116;5;E;E;E;E;E;C;C;B;B;C;C;B;B;B;A;B;B
35037928;2017268678;5;E;E;E;E;E;C;C;B;B;C;C;B;B;B;A;B;B
35037928;2017204859;5;E;E;E;E;E;C;C;B;B;C;C;B;B;B;A;B;B
35017536;2017219096;9;C;E;E;E;E;D;D;D;D;D;D;C;B;C;D;C;B
35017536;2017219095;9;C;E;E;E;D;D;D;D;D;D;D;D;D;D;D;D;D
35017536;2017376482;5;E;E;E;E;E;D;C;C;C;C;B;B;C;C;C;C;B
35017536;2017055574;5;E;E;E;E;E;D;C;C;C;C;B;B;C;C;C;C;B
35017536;2017325596;5;C;E;E;E;D;D;C;C;C;C;C;C;C;C;C;C;C
35017553;2017204641;9;E;E;E;E;E;D;D;D;D;C;D;D;D;D;D;D;D
35017553;2017375746;9;E;E;E;E;E;D;D;D;D;C;D;D;D;D;D;D;D
35017553;2017375746;9;E;E;E;E;E;D;D;D;D;C;D;D;D;D;D;D;D
35017553;2017304301;9;E;E;E;E;E;D;D;D;D;C;D;D;D;D;D;D;D
35017553;2017204641;9;E;E;E;E;E;D;D;D;D;C;D;D;D;D;D;D;D
35017553;2017304301;9;E;E;E;E;E;D;D;D;D;C;D;D;D;D;D;D;D
35452312;2017163133;9;A;C;A;A;A;A;B;A;A;C;C;B;B;D;C;B;C
35452312;2017205451;9;A;C;A;A;A;A;B;A;A;C;C;B;B;D;C;B;C
35452312;2017241169;9;A;C;A;A;A;A;B;A;A;C;C;B;B;D;C;B;C
35452312;2017163132;9;E;D;E;E;D;D;D;D;D;D;D;D;D;D;D;D;D
35452312;2017241168;9;E;D;E;E;D;D;D;D;D;D;D;D;D;D;D;D;D
35013158;2017084200;9;A;B;C;D;D;B;C;C;C;C;C;B;B;C;C;C;B
35013158;2017126606;9;A;B;C;D;D;B;C;C;C;C;C;B;B;C;C;C;B
35013158;2017126605;9;A;C;A;E;D;D;D;D;D;D;D;D;D;D;D;D;D
35013158;2017126604;9;A;B;C;D;D;B;C;C;C;C;C;B;B;C;C;C;B
35013158;2017084201;9;A;C;A;E;D;D;D;D;D;D;D;D;D;D;D;D;D
35005587;2017240169;9;D;E;E;E;E;D;D;D;D;D;D;D;D;D;D;D;D
35005587;2017240169;9;D;E;E;E;E;D;D;D;D;D;D;D;D;D;D;D;D
35005587;2017346943;9;D;E;E;E;E;D;D;D;D;D;D;D;D;D;D;D;D
35005587;2017346943;9;D;E;E;E;E;D;D;D;D;D;D;D;D;D;D;D;D
35005587;2017346944;9;A;C;E;E;C;D;D;D;D;D;D;D;C;D;D;D;C
35005587;2017346944;9;A;C;E;E;C;D;D;D;D;D;D;D;C;D;D;D;C
35910879;2017326514;5;A;D;B;A;C;C;C;C;D;D;D;D;D;D;D;C;C
35910879;2017326516;5;B;D;E;E;D;D;D;D;D;D;D;D;D;D;D;D;D
35910879;2017298095;5;C;E;E;E;E;D;D;D;D;D;D;D;D;D;D;D;C
35910879;2017021209;5;B;D;E;D;E;B;C;D;C;D;D;C;C;D;D;D;D
35920319;2017454242;5;B;E;E;E;C;B;C;B;C;D;D;C;C;D;C;C;C
35920319;2017248507;5;B;D;E;E;E;C;C;B;C;C;C;B;B;C;C;C;C
35920319;2017049358;5;B;D;E;E;D;B;B;A;A;D;B;A;A;A;A;B;B
35920319;2017049358;5;B;D;E;E;D;B;B;A;A;D;B;A;A;A;A;B;B
35020539;2017197550;9;C;C;C;C;B;C;C;C;C;C;C;C;C;D;D;C;C
35020539;2017126687;9;C;C;C;C;B;C;C;C;C;C;C;C;C;D;D;C;C
35020539;2017034365;9;C;C;C;C;B;C;C;C;C;C;C;C;C;D;D;C;C
35020539;2017020329;9;C;C;C;C;B;C;C;C;C;C;C;C;C;D;D;C;C
35020539;2017197551;9;C;C;C;C;B;B;C;C;B;C;C;C;B;D;C;C;C
35020539;2017034366;9;C;C;C;C;B;B;C;C;B;C;C;C;B;D;C;C;C
35014370;2017417763;9;C;D;E;E;B;C;C;C;C;C;A;B;B;C;C;C;B
35014370;2017261484;9;C;D;E;E;B;C;C;C;C;C;A;B;B;C;C;C;B
35014370;2017261484;9;B;D;E;E;B;C;C;C;C;C;C;B;B;C;C;C;B
35014370;2017169180;9;B;D;E;E;B;C;C;C;C;C;C;B;B;C;C;C;B
35014370;2017034307;9;C;D;E;E;B;C;C;C;C;C;A;B;B;C;C;C;B
35014370;2017304267;9;B;D;E;E;B;C;C;C;C;C;C;B;B;C;C;C;B
35014370;2017417763;9;B;D;E;E;B;C;C;C;C;C;C;B;B;C;C;C;B
35014370;2017169180;9;C;D;E;E;B;C;C;C;C;C;A;B;B;C;C;C;B
35014370;2017034307;9;B;D;E;E;B;C;C;C;C;C;C;B;B;C;C;C;B
35014370;2017304267;9;C;D;E;E;B;C;C;C;C;C;A;B;B;C;C;C;B
35014370;2017424962;9;C;D;E;E;B;C;C;C;C;C;A;B;B;C;C;C;B
35014370;2017424962;9;B;D;E;E;B;C;C;C;C;C;C;B;B;C;C;C;B
35014370;2017417764;9;C;E;C;E;E;D;D;D;D;D;D;D;D;D;D;D;D
35014370;2017417764;9;C;E;C;E;E;D;D;D;D;D;D;D;D;D;D;D;D
35014370;2017261485;9;C;E;C;E;E;D;D;D;D;D;D;D;D;D;D;D;D
35014370;2017261485;9;C;E;C;E;E;D;D;D;D;D;D;D;D;D;D;D;D
35048215;2017261842;9;D;E;E;E;E;B;C;C;B;C;C;C;C;C;C;C;C
35048215;2017340068;9;D;E;E;E;E;B;C;C;B;C;C;C;C;C;C;C;C
35048215;2017233586;5;D;E;E;E;E;D;D;D;D;D;D;D;D;D;D;D;D
35048215;2017261841;9;C;E;E;E;C;C;C;B;C;C;D;D;D;D;D;D;D
35029713;2017375880;9;E;E;E;E;C;D;D;D;D;D;D;D;D;D;D;D;D
